tx_id,rx_id,flow_mbps,tdm,capacity,utilization
135,114,101.63806867042719,0.9753283051137213,104.20908337995624,0.9753283051137214
135,96,1.9999999999999998,0.02467169488627875,81.06455633545902,0.02467169488627875
72,66,10.290678232782392,0.1053309531560239,97.6985199928751,0.10533095315602391
73,67,2.0,0.020471139179159915,97.69851997469908,0.020471139179159915
90,70,2.0,0.03131496928663594,63.86721895504222,0.03131496928663594
84,71,2.0,0.022301950870147268,89.67825333509907,0.022301950870147268
73,72,12.290678232782392,0.11798009910908376,104.17585953558572,0.11798009910908377
86,73,20.29067823278239,0.2262608545776331,89.67825331809834,0.2262608545776331
84,74,1.9999999999999998,0.023387087837618184,85.51727405679792,0.023387087837618187
81,76,1.9999999999999998,0.022317720527256703,89.61488685896005,0.022317720527256706
86,78,2.0,0.02231650733175207,89.61975860597089,0.02231650733175207
90,81,3.9999999999999996,0.03835131358017773,104.29890469429554,0.03835131358017773
111,82,63.86683420493438,0.8078788182214204,79.05496810219623,0.8078788182214205
106,84,84.52152380141395,1.0000000000000002,84.52152380141393,1.0000000000000002
0,86,111.72319443449817,0.9999999999999998,111.7231944344982,0.9999999999999998
110,89,2.0,0.1919344308964134,10.420225233477758,0.1919344308964134
91,90,7.999999999999999,0.07678509199823459,104.18689086397046,0.07678509199823459
103,91,11.709321767217606,0.1277685361324162,91.64479864653336,0.1277685361324162
113,99,2.0,0.02229712249825334,89.69767287938932,0.02229712249825334
112,102,2.0,0.023961403422945053,83.46756509615928,0.023961403422945053
111,102,2.0,0.022312854886774522,89.63442868018912,0.022312854886774522
111,103,13.709321767217606,0.13142190745768095,104.31534614297186,0.13142190745768098
86,106,5.167533496998563,0.06375014574168678,81.05916365959722,0.06375014574168678
114,106,91.4987738172041,0.9362498542583133,97.72901261457434,0.9362498542583133
111,110,4.0,0.03838641943412401,104.2035193426808,0.03838641943412401
84,111,29.709321767217606,0.4638680673082462,64.04692165946268,0.4638680673082462
112,111,55.86683420493437,0.5361319326917541,104.20351931742644,0.5361319326917541
118,112,59.86683420493438,0.5738721961504849,104.3208481026247,0.5738721961504849
114,113,3.9999999999999996,0.06375014574168657,62.74495459520774,0.06375014574168657
91,117,1.709321767217606,0.021620411594188142,79.06055626050592,0.021620411594188142
123,117,0.2906782327823938,0.002974173250744498,97.73412921040524,0.0029741732507444986
82,118,61.86683420493437,0.8368760895696012,73.92591923226293,0.8368760895696011
86,119,1.9999999999999998,0.028240864220247706,70.81936248133901,0.028240864220247706
86,121,1.9999999999999998,0.0435325778961616,45.94260428984027,0.043532577896161606
132,123,2.290678232782394,0.024988546509651283,91.66912656955334,0.024988546509651283
126,125,2.0,0.019190129475858034,104.22024523159584,0.019190129475858034
73,126,3.9999999999999996,0.1310437448354081,30.524158211626418,0.13104374483540812
132,128,2.0,0.01916857853062655,104.33741848956116,0.01916857853062655
132,131,2.0,0.019189098977296763,104.22584209744628,0.019189098977296763
66,132,8.290678232782394,0.1722278177398682,48.13785799286258,0.1722278177398682
74,130,2.0,0.05266871869193981,37.9732040131455,0.05266871869193981
