node_id,data_rate_mbps
66,1.9999999999999982
67,2.0
70,2.0
71,2.0
72,2.0
73,1.9999999999999987
76,1.9999999999999998
78,2.0
81,1.9999999999999998
82,2.000000000000007
84,50.812202034196346
86,80.26498270471723
89,2.0
90,1.9999999999999991
91,2.000000000000001
96,1.9999999999999998
99,2.0
102,4.0
103,2.0
106,12.144783512788706
110,2.0
111,1.9999999999999787
112,2.000000000000007
113,1.9999999999999996
114,6.139294853223092
117,1.9999999999999998
118,1.999999999999993
119,1.9999999999999998
121,1.9999999999999998
123,2.0
125,2.0
126,1.9999999999999996
128,2.0
130,2.0
131,2.0
132,2.0
